ok,organization,id,title,url,groups,groups_extra,vocabulary,vocabulary_extra,tags,original_tags,,
1,ine,420184591739-ine-241_2024,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=2024,demanda,,estancia media,,estancia_media,,,
1,ine,814616757763-ine-241_3153,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=3153,demanda,,estancia media,,estancia_media,,,
1,ine,416056724937-ine-241_2940,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.",https://www.ine.es/jaxiT3/Tabla.htm?t=2940,demanda,,estancia media,,estancia_media,,,
1,ine,305034542414-ine-238_2940,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.",https://www.ine.es/jaxiT3/Tabla.htm?t=2940,demanda,,estancia media,,estancia_media,,,
1,ine,153158303611-ine-239_2940,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.",https://www.ine.es/jaxiT3/Tabla.htm?t=2940,demanda,,estancia media,,estancia_media,,,
1,ine,942190549462-ine-240_2940,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.",https://www.ine.es/jaxiT3/Tabla.htm?t=2940,demanda,,estancia media,,estancia_media,,,
1,ine,269459029890-ine-239_49368,"INE: Estancia media, por tipo de alojamiento por comunidades y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=49368,demanda,,estancia media,,estancia_media,,,
1,ine,330641634475-ine-240_49368,"INE: Estancia media, por tipo de alojamiento por comunidades y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=49368,demanda,,estancia media,,estancia_media,,,
1,ine,287963508467-ine-238_49368,"INE: Estancia media, por tipo de alojamiento por comunidades y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=49368,demanda,,estancia media,,estancia_media,,,
1,ine,269890162028-ine-241_49368,"INE: Estancia media, por tipo de alojamiento por comunidades y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=49368,demanda,,estancia media,,estancia_media,,,
1,valencia,596807531051-valencia-eventos-navidenos0,Valencia: Eventos navideños,https://valencia.opendatasoft.com/explore/dataset/eventos-navidenos0,recursos,,eventos,,eventos,Cultura y ocio,,
1,ine,523987234237-ine-334_24939,INE:  Excursiones y gasto por tipo de destino principal,https://www.ine.es/jaxiT3/Tabla.htm?t=24939,demanda,,excursiones,,excursiones,,,
1,ine,206525861876-ine-334_12447,INE:  Excursiones y gasto por tipo de destino principal,https://www.ine.es/jaxiT3/Tabla.htm?t=12447,demanda,,excursiones,,excursiones,,,
