CODIGO_MUNIINE,MUNICIPIO,RED DTI ,PORTAL DE OPEN DATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,URL  DIPUTACIÓN DE ALICANTE,CATEGORIA DE TURISMO DPA,TECNOLOGIA,PROCESABLE,EPADATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,AlLICANTEENCIFRAS CAMARA DE COMERCIO URL ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,INE DATOS TURISTICOS ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE
3057,CONFRIDES,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03057,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/confrides/2666,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3058,COX ,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03058,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/cox/2754,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3059,CREVILLENTE ,SI (PRIMER NIVEL),,,,,http://documentacion.diputacionalicante.es/4hogares.asp?codigo=03059,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/crevillent/2763,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3061,DAYA NUEVA ,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03061,,,,,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3062,"DAYA VIEJA ",,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03062,,,,,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3063,DENIA ,SI (SEGUNDO NIVEL ),,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03063,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/denia/2851,"SI TIENE PERO.
CATEGORIA DE TURISMO UNICMANETE HOTELES Y CON POSIBILIDAD DE DESCARGA",,,,,,,"https://www.ine.es/jaxiT3/Tabla.htm?t=2078  


https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0    ","CATEGORIA DE TURISMO SI 
-PUEDES ENCONTRAR

-Encuesta de ocupación hotelera
Establecimientos hoteleros 
(Viajeros y pernoctaciones) (residentes o extranjeros) (periodo)

  ""Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)""


",,
3064,DOLORES ,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03064,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/dolores/2866,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3051,EL CAMP DE MIRRA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03051,,,,,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3050,EL CAMPELLO,SI (TERCER NIVEL),,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03050,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/campello/1978,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3138,EL VERGER,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03138,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/verger/7792,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3065,ELCHE ó ELX,SI (TERCER NIVEL),https://www.elche.es/datos-socioeconomicos/elche-en-cifras/,No,INE,(?),http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03065,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/elche/2907,"SI TIENE PERO.
CATEGORIA DE TURISMO UNICMANETE HOTELES Y CON POSIBILIDAD DE DESCARGA",,,,,,,"https://www.ine.es/jaxiT3/Tabla.htm?t=2078


https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0        ","CATEGORIA DE TURISMO SI 
-PUEDES ENCONTRAR

-Encuesta de ocupación hotelera
Establecimientos hoteleros 
(Viajeros y pernoctaciones) (residentes o extranjeros) (periodo)

""Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)""

",,
3066,ELDA,SI (PRIMER NIVEL),,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03066,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/elda/2910,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3901,ELS POBLETS,,,,,,MANUAL=3901,,,,,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3067,FACHECA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03067,,,,,,,,,,,,,,,
3068,FAMORCA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03068,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/famorca/3071,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3069,FINESTRAT ,SI( SEGUNDO NIVEL),,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03069,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/finestrat/3112,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
